Record_ID,Entity_Name,State,Covered_Entity_Type,Individuals_Affected,Submission_Date,Submission_Year,Submission_Month,Breach_Type,Information_Location,Business_Associate_Present,Investigation_Status,Large_Breach_100K,Log_Individuals_Affected,Business_Associate_Flag,Hacking_IT_Flag,Unauthorized_Access_Flag,Theft_Flag,Loss_Flag,Improper_Disposal_Flag,Potential_Duplicate_Flag,Model_Ready_Flag
HHS-000107,"EyeCare Partners, LLC, including The Ophthalmology Group, Ophthalmology Consultants, and Ophthalmology Associates.",MO,Healthcare Provider,17622,2026-02-03,2026,2,Hacking/IT Incident,Email,No,Archived,0,9.7769601460643702,0,1,0,0,0,0,0,1
HHS-000108,Ko-Kwel Wellness Center,OR,Healthcare Provider,543,2026-02-03,2026,2,Hacking/IT Incident,Network Server,Yes,Archived,0,6.2989492468559423,1,1,0,0,0,0,0,1
HHS-000109,"Mindoula Health, Inc.",MD,Business Associate,626,2026-02-02,2026,2,Hacking/IT Incident,Email,Yes,Archived,0,6.4409465406329209,1,1,0,0,0,0,0,1
HHS-000110,Pafford Medical Services,AR,Healthcare Provider,1000,2026-02-02,2026,2,Hacking/IT Incident,Network Server,No,Archived,0,6.9087547793152204,0,1,0,0,0,0,0,1
HHS-000111,EDINGER MEDICAL GROUP,CA,Healthcare Provider,1246,2026-01-30,2026,1,Hacking/IT Incident,Network Server,Yes,Archived,0,7.1284959456800365,1,1,0,0,0,0,0,1
HHS-000112,LifeLong Medical Care,CA,Healthcare Provider,70000,2026-01-30,2026,1,Unauthorized Access/Disclosure,Other,Yes,Archived,0,11.156264806643742,1,0,1,0,0,0,0,1
HHS-000113,"BAYADA Home Health Care, Inc.",NJ,Healthcare Provider,9526,2026-01-30,2026,1,Hacking/IT Incident,Network Server,Yes,Archived,0,9.1618851517067785,1,1,0,0,0,0,0,1
HHS-000114,Health and Hospital Corporation of Marion County,IN,Healthcare Provider,792,2026-01-30,2026,1,Unauthorized Access/Disclosure,"Email, Laptop",No,Archived,0,6.6758232216348476,0,0,1,0,0,0,0,1
HHS-000115,"180 Health Partners, Inc.",MD,Business Associate,1167,2026-01-30,2026,1,Hacking/IT Incident,Email,Yes,Archived,0,7.0630481633881725,1,1,0,0,0,0,0,1
HHS-000116,"Wakefield & Associates, LLC",TN,Business Associate,31751,2026-01-30,2026,1,Hacking/IT Incident,Network Server,Yes,Archived,0,10.365710994462901,1,1,0,0,0,0,0,1
HHS-000117,Chattanooga C.A.R.E.S. d/b/a Cempa Community Care,TN,Healthcare Provider,1341,2026-01-30,2026,1,Unauthorized Access/Disclosure,Other,Yes,Archived,0,7.2019163175316274,1,0,1,0,0,0,0,1
HHS-000118,Lincoln National Corporation d/b/a/ Lincoln Financial,IN,Health Plan,998,2026-01-30,2026,1,Unauthorized Access/Disclosure,Paper/Films,No,Archived,0,6.9067547786485539,0,0,1,0,0,0,0,1
HHS-000119,"CashFlow Solutions, LLC",PA,Healthcare Provider,1007,2026-01-28,2026,1,Unauthorized Access/Disclosure,Email,No,Archived,0,6.9157234486313142,0,0,1,0,0,0,0,1
HHS-000120,Axis Healthcare Group P.C.,MD,Healthcare Provider,3537,2026-01-28,2026,1,Hacking/IT Incident,Email,No,Archived,0,8.1713168747197304,0,1,0,0,0,0,0,1
HHS-000121,Baltimore City Health Department,MD,Healthcare Provider,2597,2026-01-28,2026,1,Hacking/IT Incident,Network Server,Yes,Archived,0,7.8624971972305451,1,1,0,0,0,0,0,1
HHS-000122,"Pecan Tree Dental, PLLC",TX,Healthcare Provider,13300,2026-01-26,2026,1,Hacking/IT Incident,Network Server,No,Archived,0,9.495594499353297,0,1,0,0,0,0,0,1
HHS-000123,"La Clinica de La Raza, Inc. (La Clinica)",CA,Healthcare Provider,11403,2026-01-22,2026,1,Hacking/IT Incident,Network Server,Yes,Archived,0,9.3417194500325618,1,1,0,0,0,0,0,1
HHS-000124,Deschutes County Health Services,OR,Healthcare Provider,1305,2026-01-22,2026,1,Hacking/IT Incident,Network Server,Yes,Archived,0,7.1747243098363764,1,1,0,0,0,0,0,1
HHS-000125,AdventHealth Daytona Beach,FL,Healthcare Provider,821,2026-01-20,2026,1,Loss,Paper/Films,No,Archived,0,6.7117403950561796,0,0,0,0,1,0,0,1
HHS-000126,Providence,WA,Healthcare Provider,22701,2026-01-16,2026,1,Hacking/IT Incident,Network Server,Yes,Archived,0,10.030208305315284,1,1,0,0,0,0,0,1
HHS-000127,Minnesota Department of Human Services,MN,Health Plan,303965,2026-01-16,2026,1,Unauthorized Access/Disclosure,Network Server,Yes,Archived,1,12.6246711320283,1,0,1,0,0,0,0,1
HHS-000128,Bay Area Community Health,CA,Healthcare Provider,9912,2026-01-16,2026,1,Hacking/IT Incident,Network Server,Yes,Archived,0,9.201602306032898,1,1,0,0,0,0,0,1
